region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date,weighted_ili,unweighted_ili,age_0_4,age_25_49,age_25_64,age_5_24,age_50_64,age_65,ilitotal,num_of_providers,total_patients,week_start,season_week,season,regionnew,baseline
HHS Regions,hhs1,2015,40,693,2,3,0.721501,0.2886,0.4329,2015-10-04,0.743302,0.684364,103,50,NA,133,23,13,322,134,47051,2015-10-04,10,2015/2016,hhs1,1.3
HHS Regions,hhs2,2015,40,1220,5,0,0.409836,0.409836,0,2015-10-04,1.03278,1.22475,547,294,NA,528,123,95,1587,199,129577,2015-10-04,10,2015/2016,hhs2,2.3
HHS Regions,hhs3,2015,40,896,0,1,0.111607,0,0.111607,2015-10-04,1.2178,1.24313,401,419,NA,625,144,81,1670,280,134338,2015-10-04,10,2015/2016,hhs3,1.8
HHS Regions,hhs4,2015,40,2486,24,16,1.60901,0.965406,0.643604,2015-10-04,1.01464,1.15781,486,231,NA,613,99,75,1504,299,129900,2015-10-04,10,2015/2016,hhs4,1.6
HHS Regions,hhs5,2015,40,2138,14,3,0.795136,0.654818,0.140318,2015-10-04,1.04259,1.17723,384,238,NA,444,159,103,1328,284,112807,2015-10-04,10,2015/2016,hhs5,1.9
HHS Regions,hhs6,2015,40,1773,8,16,1.35364,0.451213,0.902425,2015-10-04,2.5431,2.0819,559,476,NA,698,199,100,2032,267,97603,2015-10-04,10,2015/2016,hhs6,3.6
HHS Regions,hhs7,2015,40,621,2,1,0.483092,0.322061,0.161031,2015-10-04,0.873934,0.957817,46,46,NA,77,15,14,198,77,20672,2015-10-04,10,2015/2016,hhs7,1.7
HHS Regions,hhs8,2015,40,824,1,1,0.242718,0.121359,0.121359,2015-10-04,0.655949,0.842218,81,71,NA,156,26,12,346,121,41082,2015-10-04,10,2015/2016,hhs8,1.4
HHS Regions,hhs9,2015,40,981,25,2,2.75229,2.54842,0.203874,2015-10-04,1.34537,1.23884,204,176,NA,398,78,126,982,225,79268,2015-10-04,10,2015/2016,hhs9,2.6
HHS Regions,hhs10,2015,40,397,3,0,0.755668,0.755668,0,2015-10-04,0.497072,0.500344,38,14,NA,21,5,2,80,77,15989,2015-10-04,10,2015/2016,hhs10,1.1
HHS Regions,hhs1,2015,41,752,11,4,1.99468,1.46277,0.531915,2015-10-11,0.613241,0.575962,67,39,NA,123,16,12,257,134,44621,2015-10-11,11,2015/2016,hhs1,1.3
HHS Regions,hhs2,2015,41,1367,4,2,0.438917,0.292612,0.146306,2015-10-11,0.951433,1.33928,572,305,NA,515,128,114,1634,189,122006,2015-10-11,11,2015/2016,hhs2,2.3
HHS Regions,hhs3,2015,41,1097,2,4,0.546946,0.182315,0.364631,2015-10-11,1.26021,1.33709,428,426,NA,708,153,84,1799,276,134546,2015-10-11,11,2015/2016,hhs3,1.8
HHS Regions,hhs4,2015,41,2759,38,14,1.88474,1.37731,0.50743,2015-10-11,1.07454,1.20254,486,285,NA,637,121,72,1601,304,133135,2015-10-11,11,2015/2016,hhs4,1.6
HHS Regions,hhs5,2015,41,2357,15,6,0.890963,0.636402,0.254561,2015-10-11,1.16893,1.27682,444,243,NA,560,121,97,1465,288,114738,2015-10-11,11,2015/2016,hhs5,1.9
HHS Regions,hhs6,2015,41,1952,10,16,1.33197,0.512295,0.819672,2015-10-11,2.80592,2.19389,640,483,NA,765,203,110,2201,265,100324,2015-10-11,11,2015/2016,hhs6,3.6
HHS Regions,hhs7,2015,41,690,5,5,1.44928,0.724638,0.724638,2015-10-11,0.887407,0.927315,43,50,NA,74,18,19,204,77,21999,2015-10-11,11,2015/2016,hhs7,1.7
HHS Regions,hhs8,2015,41,843,3,0,0.355872,0.355872,0,2015-10-11,0.672674,0.820126,76,68,NA,138,37,22,341,125,41579,2015-10-11,11,2015/2016,hhs8,1.4
HHS Regions,hhs9,2015,41,926,23,3,2.80778,2.4838,0.323974,2015-10-11,1.48977,1.34225,227,189,NA,445,101,140,1102,239,82101,2015-10-11,11,2015/2016,hhs9,2.6
HHS Regions,hhs10,2015,41,368,5,0,1.3587,1.3587,0,2015-10-11,0.756054,0.759702,33,14,NA,42,14,8,111,79,14611,2015-10-11,11,2015/2016,hhs10,1.1
HHS Regions,hhs1,2015,42,708,4,3,0.988701,0.564972,0.423729,2015-10-18,0.721747,0.667951,83,48,NA,153,29,13,326,136,48806,2015-10-18,12,2015/2016,hhs1,1.3
HHS Regions,hhs2,2015,42,1395,1,2,0.215054,0.0716846,0.143369,2015-10-18,1.23018,1.49285,687,299,NA,612,144,85,1827,191,122383,2015-10-18,12,2015/2016,hhs2,2.3
HHS Regions,hhs3,2015,42,1013,5,9,1.38203,0.493583,0.88845,2015-10-18,1.53341,1.60714,534,504,NA,817,176,124,2155,277,134089,2015-10-18,12,2015/2016,hhs3,1.8
HHS Regions,hhs4,2015,42,2981,61,13,2.48239,2.04629,0.436095,2015-10-18,1.0487899999999999,1.18186,489,323,NA,628,137,69,1646,309,139272,2015-10-18,12,2015/2016,hhs4,1.6
HHS Regions,hhs5,2015,42,2484,5,8,0.523349,0.201288,0.322061,2015-10-18,1.06713,1.15997,401,232,NA,496,106,86,1321,290,113882,2015-10-18,12,2015/2016,hhs5,1.9
HHS Regions,hhs6,2015,42,1937,6,15,1.08415,0.309757,0.774393,2015-10-18,2.98999,2.38991,661,585,NA,895,204,106,2451,268,102556,2015-10-18,12,2015/2016,hhs6,3.6
HHS Regions,hhs7,2015,42,724,6,0,0.828729,0.828729,0,2015-10-18,1.12273,1.12114,63,57,NA,89,20,22,251,78,22388,2015-10-18,12,2015/2016,hhs7,1.7
HHS Regions,hhs8,2015,42,876,2,2,0.456621,0.228311,0.228311,2015-10-18,0.688796,0.880592,87,91,NA,138,19,15,350,122,39746,2015-10-18,12,2015/2016,hhs8,1.4
HHS Regions,hhs9,2015,42,935,6,0,0.641711,0.641711,0,2015-10-18,1.43902,1.34442,229,201,NA,499,108,124,1161,242,86357,2015-10-18,12,2015/2016,hhs9,2.6
HHS Regions,hhs10,2015,42,388,1,0,0.257732,0.257732,0,2015-10-18,0.550018,0.615385,29,17,NA,33,8,9,96,82,15600,2015-10-18,12,2015/2016,hhs10,1.1
HHS Regions,hhs1,2015,43,716,1,1,0.27933,0.139665,0.139665,2015-10-25,0.767136,0.615777,69,26,NA,148,26,21,290,133,47095,2015-10-25,13,2015/2016,hhs1,1.3
HHS Regions,hhs2,2015,43,1414,7,3,0.707214,0.49505,0.212164,2015-10-25,1.10278,1.43604,701,317,NA,533,95,89,1735,198,120818,2015-10-25,13,2015/2016,hhs2,2.3
HHS Regions,hhs3,2015,43,1034,1,3,0.386847,0.0967118,0.290135,2015-10-25,1.39535,1.42706,454,467,NA,740,168,110,1939,280,135874,2015-10-25,13,2015/2016,hhs3,1.8
HHS Regions,hhs4,2015,43,2886,47,26,2.52945,1.62855,0.900901,2015-10-25,1.07812,1.18476,494,284,NA,646,128,95,1647,306,139016,2015-10-25,13,2015/2016,hhs4,1.6
HHS Regions,hhs5,2015,43,2594,13,6,0.73246,0.501157,0.231303,2015-10-25,1.115,1.23559,407,249,NA,515,121,91,1383,288,111930,2015-10-25,13,2015/2016,hhs5,1.9
HHS Regions,hhs6,2015,43,1774,20,5,1.40924,1.1274,0.281849,2015-10-25,3.09627,2.33874,588,535,NA,819,217,98,2257,267,96505,2015-10-25,13,2015/2016,hhs6,3.6
HHS Regions,hhs7,2015,43,742,4,5,1.21294,0.539084,0.673854,2015-10-25,0.854524,0.926501,45,55,NA,70,24,15,209,82,22558,2015-10-25,13,2015/2016,hhs7,1.7
HHS Regions,hhs8,2015,43,943,1,1,0.212089,0.106045,0.106045,2015-10-25,0.612608,0.84857,83,84,NA,143,22,17,349,123,41128,2015-10-25,13,2015/2016,hhs8,1.4
HHS Regions,hhs9,2015,43,969,3,1,0.412797,0.309598,0.103199,2015-10-25,1.58879,1.51958,250,219,NA,502,112,154,1237,250,81404,2015-10-25,13,2015/2016,hhs9,2.6
HHS Regions,hhs10,2015,43,465,1,1,0.430108,0.215054,0.215054,2015-10-25,0.853014,0.795309,50,18,NA,32,14,4,118,72,14837,2015-10-25,13,2015/2016,hhs10,1.1
HHS Regions,hhs1,2015,44,781,0,1,0.128041,0,0.128041,2015-11-01,0.923337,0.781094,88,66,NA,200,22,15,391,138,50058,2015-11-01,14,2015/2016,hhs1,1.3
HHS Regions,hhs2,2015,44,1366,6,2,0.585652,0.439239,0.146413,2015-11-01,1.21684,1.45903,728,316,NA,579,128,88,1839,200,126043,2015-11-01,14,2015/2016,hhs2,2.3
HHS Regions,hhs3,2015,44,1171,2,6,0.683177,0.170794,0.512383,2015-11-01,1.53447,1.63246,648,577,NA,852,161,125,2363,285,144751,2015-11-01,14,2015/2016,hhs3,1.8
HHS Regions,hhs4,2015,44,3345,45,33,2.33184,1.34529,0.986547,2015-11-01,1.08835,1.22063,503,348,NA,764,127,64,1806,317,147956,2015-11-01,14,2015/2016,hhs4,1.6
HHS Regions,hhs5,2015,44,2645,13,10,0.869565,0.491493,0.378072,2015-11-01,1.21929,1.33523,477,238,NA,633,107,88,1543,294,115561,2015-11-01,14,2015/2016,hhs5,1.9
HHS Regions,hhs6,2015,44,1985,16,7,1.15869,0.806045,0.352645,2015-11-01,2.87066,2.31086,656,496,NA,846,212,116,2326,270,100655,2015-11-01,14,2015/2016,hhs6,3.6
