region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date,a_2009_h1n1,a_h1,a_h3,a_subtyping_not_performed,a_unable_to_subtype,b,h3n2v,weighted_ili,unweighted_ili,age_0_4,age_25_49,age_25_64,age_5_24,age_50_64,age_65,ilitotal,num_of_providers,total_patients,week_start,season_week,season,regionnew,baseline,season_week_date,season_week_label,rili_minus,avg_rili_minus1,sd_rili_minus1,max_rili_minus,avg_rili_minus,sd_rili_minus,z_score,z_score_bin,rili_minus_is_max
HHS Regions,hhs1,2015,40,693,2,3,0.721501,0.2886,0.4329,2015-10-04,NA,NA,NA,NA,NA,NA,NA,0.743302,0.684364,103,50,NA,133,23,13,322,134,47051,2015-10-04,10,2015/2016,hhs1,1.3,2019-09-29,Sep-29,0.5676454374130615,0.4726612458004005,0.20912029849819835,1.2411114024,0.46616027859657844,0.33120550572776175,0.30641144866685877,"(0,1]",FALSE
HHS Regions,hhs2,2015,40,1220,5,0,0.409836,0.409836,0,2015-10-04,NA,NA,NA,NA,NA,NA,NA,1.03278,1.22475,547,294,NA,528,123,95,1587,199,129577,2015-10-04,10,2015/2016,hhs2,2.3,2019-09-29,Sep-29,0.4471944764170436,0.667678550679885,0.8175791235968657,4.151656350753462,0.6123620824280793,0.6809514647112737,-0.24255415337283623,"(-1,0]",FALSE
HHS Regions,hhs3,2015,40,896,0,1,0.111607,0,0.111607,2015-10-04,NA,NA,NA,NA,NA,NA,NA,1.2178,1.24313,401,419,NA,625,144,81,1670,280,134338,2015-10-04,10,2015/2016,hhs3,1.8,2019-09-29,Sep-29,0.6758004721966667,0.5503692774034812,0.2197283763411313,1.1477769147000003,0.5531359534027079,0.37726545022631225,0.32514114059576715,"(0,1]",FALSE
HHS Regions,hhs4,2015,40,2486,24,16,1.60901,0.965406,0.643604,2015-10-04,NA,NA,NA,NA,NA,NA,NA,1.01464,1.15781,486,231,NA,613,99,75,1504,299,129900,2015-10-04,10,2015/2016,hhs4,1.6,2019-09-29,Sep-29,0.623946463085,0.5209493978315349,0.3814644225916851,2.14053711076,0.5278103622923176,0.4296997557726154,0.22372854417807686,"(0,1]",FALSE
HHS Regions,hhs5,2015,40,2138,14,3,0.795136,0.654818,0.140318,2015-10-04,NA,NA,NA,NA,NA,NA,NA,1.04259,1.17723,384,238,NA,444,159,103,1328,284,112807,2015-10-04,10,2015/2016,hhs5,1.9,2019-09-29,Sep-29,0.5443684166197894,0.554028851471223,0.2916128432822553,1.5661272684705885,0.5406749456802799,0.36795289293679523,0.010037890747455001,"(0,1]",FALSE
HHS Regions,hhs6,2015,40,1773,8,16,1.35364,0.451213,0.902425,2015-10-04,NA,NA,NA,NA,NA,NA,NA,2.5431,2.0819,559,476,NA,698,199,100,2032,267,97603,2015-10-04,10,2015/2016,hhs6,3.6,2019-09-29,Sep-29,0.6968543280999999,0.4431841045698381,0.3883749150272936,1.9700676003125,0.45524243830694505,0.40325393302227136,0.5991556932433213,"(0,1]",FALSE
HHS Regions,hhs7,2015,40,621,2,1,0.483092,0.322061,0.161031,2015-10-04,NA,NA,NA,NA,NA,NA,NA,0.873934,0.957817,46,46,NA,77,15,14,198,77,20672,2015-10-04,10,2015/2016,hhs7,1.7,2019-09-29,Sep-29,0.511595349859247,0.485550214216519,0.3369243984314144,1.8128708718421054,0.4865604441208582,0.5692415218919163,0.043979409047996854,"(0,1]",FALSE
HHS Regions,hhs8,2015,40,824,1,1,0.242718,0.121359,0.121359,2015-10-04,NA,NA,NA,NA,NA,NA,NA,0.655949,0.842218,81,71,NA,156,26,12,346,121,41082,2015-10-04,10,2015/2016,hhs8,1.4,2019-09-29,Sep-29,0.4673977812187,0.5684715107157168,0.6677510519234673,3.3458769467384615,0.5107684780011591,0.6937918818754794,-0.06251254578709986,"(-1,0]",FALSE
HHS Regions,hhs9,2015,40,981,25,2,2.75229,2.54842,0.203874,2015-10-04,NA,NA,NA,NA,NA,NA,NA,1.34537,1.23884,204,176,NA,398,78,126,982,225,79268,2015-10-04,10,2015/2016,hhs9,2.6,2019-09-29,Sep-29,0.5032082753949999,0.5708425928352228,0.27498764153503946,1.4590380441013795,0.5373674149230543,0.32147884796103726,-0.10625625836569633,"(-1,0]",FALSE
HHS Regions,hhs10,2015,40,397,3,0,0.755668,0.755668,0,2015-10-04,NA,NA,NA,NA,NA,NA,NA,0.497072,0.500344,38,14,NA,21,5,2,80,77,15989,2015-10-04,10,2015/2016,hhs10,1.1,2019-09-29,Sep-29,0.4484688963263999,0.531110172193135,0.526409549878204,2.4965894736842107,0.5541972433335306,0.5893325464339686,-0.17940354329128666,"(-1,0]",FALSE
HHS Regions,hhs1,2015,41,752,11,4,1.99468,1.46277,0.531915,2015-10-11,NA,NA,NA,NA,NA,NA,NA,0.613241,0.575962,67,39,NA,123,16,12,257,134,44621,2015-10-11,11,2015/2016,hhs1,1.3,NA,NA,0.46231446493938466,0.5088461343127534,0.26945708008607255,1.6052607150000007,0.5412344448280688,0.36578491865932783,-0.2157551497145948,"(-1,0]",FALSE
HHS Regions,hhs2,2015,41,1367,4,2,0.438917,0.292612,0.146306,2015-10-11,NA,NA,NA,NA,NA,NA,NA,0.951433,1.33928,572,305,NA,515,128,114,1634,189,122006,2015-10-11,11,2015/2016,hhs2,2.3,NA,NA,0.41185086905190865,0.750765156726234,0.6801214550121535,3.2562541131261535,0.7396128339642462,0.7076240752689523,-0.4631865652504296,"(-1,0]",FALSE
HHS Regions,hhs3,2015,41,1097,2,4,0.546946,0.182315,0.364631,2015-10-11,NA,NA,NA,NA,NA,NA,NA,1.26021,1.33709,428,426,NA,708,153,84,1799,276,134546,2015-10-11,11,2015/2016,hhs3,1.8,NA,NA,0.6962874065629999,0.6050681674960496,0.2865005654211913,1.3379333333333334,0.6041074195119304,0.267824586191161,0.3441804516978724,"(0,1]",FALSE
HHS Regions,hhs4,2015,41,2759,38,14,1.88474,1.37731,0.50743,2015-10-11,NA,NA,NA,NA,NA,NA,NA,1.07454,1.20254,486,285,NA,637,121,72,1601,304,133135,2015-10-11,11,2015/2016,hhs4,1.6,NA,NA,0.6589298217524999,0.5825989306476592,0.3185619655566905,1.9396917160100002,0.5581933971910954,0.33050269578125474,0.3047975881808769,"(0,1]",FALSE
HHS Regions,hhs5,2015,41,2357,15,6,0.890963,0.636402,0.254561,2015-10-11,NA,NA,NA,NA,NA,NA,NA,1.16893,1.27682,444,243,NA,560,121,97,1465,288,114738,2015-10-11,11,2015/2016,hhs5,1.9,NA,NA,0.6097448769495264,0.6413818371568446,0.34587989528554947,1.8203026063058823,0.6213649547837868,0.3742862914760997,-0.031045961604507368,"(-1,0]",FALSE
